Miklos Zrinyi (Count Nicholas Serini);1600;Hungarian statesman, military leader and poet;['mw121895.jpg'];Sitter associated with 1 portrait
Thomas Wadsworth;1600;Nonconformist minister and religious writer;['mw137508.jpg'];Sitter in 1 portrait
Cornelius de Wael;1600;Engraver;['mw66244.jpg', 'mw43058.jpg', 'layout.jpg'];Sitter in 3 portraits
Lucas de Wael;1600;History and landscape painter;['mw66244.jpg', 'mw43058.jpg', 'layout.jpg'];Sitter in 3 portraits
Baron John Wainwright;1600;Baron of the exchequer in Ireland;['mw197226.jpg'];Sitter in 1 portrait
Francis Quarles;1600;Poet;['mw200836.jpg', 'mw208188.jpg', 'mw132933.jpg', 'mw208222.jpg', 'mw132939.jpg', 'mw208237.jpg', 'mw208225.jpg'];Sitter associated with 7 portraits
William Wake;1600;Archbishop of Canterbury;['mw41506.jpg', 'mw41505.jpg', 'mw41507.jpg', 'mw79674.jpg', 'mw38887.jpg', 'mw143652.jpg', 'mw197303.jpg', 'mw06538.jpg'];Later Stuart Portraits Catalogue Entry
William Talbot;1600;Bishop of Durham;['mw66634.jpg', 'mw204413.jpg', 'mw38638.jpg', 'mw204550.jpg', 'layout.jpg'];Sitter in 5 portraits
Camille d'Hostun, Comte de Tallard;1600;Marshal of France;['layout.jpg'];Sitter in 1 portrait
Sébastien Vaillant;1600;French botanist;['mw198468.jpg', 'mw149706.jpg'];Sitter in 2 portraits
William Douglas, 1st Duke of Queensberry;1600;Politician, Lord High Commissioner of Scotland;['mw136688.jpg'];Sitter in 1 portrait
James Douglas, 2nd Duke of Queensberry;1600;Lord Privy Seal;['mw35378.jpg'];Sitter in 1 portrait
Robert Paston, 1st Earl of Yarmouth;1600;Politician and scientist;['mw114351.jpg', 'mw194260.jpg'];Sitter in 2 portraits
Charles Beauclerk, 1st Duke of St Albans;1600;Soldier;['mw191940.jpg', 'mw191946.jpg', 'mw90943.jpg', 'mw191945.jpg', 'mw136968.jpg', 'mw90945.jpg', 'mw68438.jpg'];Sitter in 7 portraits
Sir George Wakeman, Bt;1600;Royal physician;['mw123475.jpg', 'mw123415.jpg'];Sitter associated with 2 portraits
William Talman;1600;Architect;['mw08478.jpg'];Later Stuart Portraits Catalogue Entry
Pieter (or Peeter) van Avont;1600;Painter, draughtsman and printmaker;['mw43121.jpg'];Sitter in 1 portrait. Artist associated with 1 portrait
Pope Urban VIII (Maffeo Barbarini);1600;Pope 1623-1644;['mw129458.jpg', 'mw129460.jpg', 'mw129448.jpg', 'mw129450.jpg', 'mw129456.jpg', 'mw129446.jpg', 'mw129454.jpg', 'mw129457.jpg', 'mw129459.jpg', 'mw129461.jpg', 'mw129451.jpg', 'mw129452.jpg'];Sitter in 12 portraits
Sir Thomas Urquhart (Urchard);1600;Author and translator;['mw133221.jpg', 'mw133238.jpg'];Sitter in 2 portraits
John Urry;1600;Literary editor;['mw143339.jpg'];Sitter in 1 portrait
Forde Grey, Earl of Tankerville;1600;Lord Grey of Warke, Whig politician, First Lord of Treasury;['mw77548.jpg'];Sitter in 1 portrait
Jan van Belcamp;1600;Painter;['mw134197.jpg', 'mw134205.jpg'];Sitter in 2 portraits
Sir John Vanbrugh;1600;Architect and dramatist;['mw06471.jpg', 'mw06470.jpg', 'mw143441.jpg', 'mw143442.jpg', 'mw141739.jpg', 'mw41482.jpg', 'mw59625.jpg', 'mw68330.jpg', 'layout.jpg', 'mw37126.jpg'];Later Stuart Portraits Catalogue Entry
