Francis Xavier;1500;Jesuit Missionary;mw84997.jpg
Jerome Zanchius;1500;Italian Protestant Reformation clergyman;mw124183.jpg
Edward la Zouche, 11th Baron Zouche;1500;Landowner;mw128701.jpg
Ulricus Zuinglius;1500;Swiss reformer;mw128701.jpg
Ulrich Zwingli;1500;Leader of the Protestant Reformation in Switzerland;mw125435.jpg
Sir William Waad;1500;Diplomat;mw129338.jpg
Cornelius van Dun;1500;Yeoman of the guard, founder of almshouses;mw127427.jpg
Emanuel van Meteren;1500;Flemish Historian and Consul for 'the Traders of the Low Countries' in London;mw129510.jpg
Oliver van Noort;1500;Dutch circumnavigator;mw127354.jpg
Margaret Pole, Countess of Salisbury;1500;Noblewoman;mw05579.jpg
Robert Cecil, 1st Earl of Salisbury;1500;Statesman;mw05580.jpg
William Paget, 1st Baron Paget;1500;Secretary of State and Lord Privy Seal;mw04824.jpg
Catherine Paget (née Knyvelt), Lady Paget;1500;First wife of 2nd Lord Paget;mw84374.jpg
Johannes Oecolampadius;1500;German religious reformer;mw125435 (1).jpg
John Napier of Merchiston;1500;Mathematician;mw133542.jpg
John Rainolds (Reynolds);1500;Theologian and college head;mw126782.jpg
Thomas Vaux, 2nd Baron Vaux of Harrowden;1500;Poet and diplomat;mw124923.jpg
Sir Richard Saltonston;1500;Lord Mayor of London;mw127418.jpg
Thomas Nash;1500;Author;mw38768.jpg
John VII, Count of Nassau;1500;Count of Nassau and Siegen;mw129444.jpg
William Louis, Count of Nassau-Dillenburg;1500;Count of Nassau-Dillenburg;mw129444 (1).jpg
Sir John Pakington;1500;Courtier;mw127399.jpg
Sir Walter Ralegh;1500;Soldier, sailor, poet and writer;mw05203.jpg
Edward Oldcorne;1500;Jesuit;mw127068.jpg
Sir Robert Naunton;1500;Secretary of State;mw129374.jpg
Henry Walpole;1500;English Jesuit Martyr;mw127070.jpg
Katherine of Aragon;1500;First Queen of Henry VIII;mw194913.jpg
Katherine Parr;1500;Sixth Queen of Henry VIII;mw01957.jpg
Sir Francis Vere;1500;Soldier;mw122713.jpg
William Lambarde;1500;Historian and lawyer;mw03721.jpg
Sir John Gage;1500;Statesman and military commander;mw81239.jpg
Pietro Vermigli;1500;Reformer, Theologian and known as 'Peter Martyr';mw06496.jpg
Jahangir;1500;Ruler of the Mughal Empire;mw219460.jpg
King James I of England and VI of Scotland;1500;Reigned Scotland 1567-1625 and England 1603-25;mw03415.jpg
James V of Scotland;1500;Father of Mary Queen of Scots, reigned Scotland 1513-42;mw126185.jpg
George Abbot;1500;Archbishop of Canterbury;mw00001.jpg
Robert Abbot;1500;Bishop of Salisbury;mw128870.jpg
Gregory Fiennes, 10th Baron Dacre;1500;Peer;mw07263.jpg
Paracelsus;1500;Alchemist, physician, astrologer and general occultist;mw124104.jpg
David Pareus;1500;German Protestant theologian;mw125435 (2).jpg
Sir Edwin Sandys;1500;Statesman and author;mw38444.jpg
Gervase Babington;1500;Bishop;mw128826.jpg
Alexander Neville;1500;Author;mw198137.jpg
Balthasar Rantzau;1500;Bishop of Lubeck;mw129527.jpg
Daniel Rantzau;1500;German-Danish General;mw129527 (1).jpg
Heinrich Rantzau;1500;German humanist writer and statesman;mw129527 (2).jpg
Johan Rantzau;1500;Commander of the Danish Army;mw129527 (3).jpg
Sir Nicholas Bacon;1500;Lord Keeper of the Great Seal;mw00267.jpg
Sir Julius Caesar;1500;Judge;mw00997.jpg
Infanta Isabella Clara Eugenia;1500;Joint governor of the Spanish Netherlands, first wife of Albert VII, Archduke of Austria;mw156450.jpg
Matthew Parker;1500;Archbishop of Canterbury;mw126710.jpg
Francis Raphelengius;1500;Linguist, professor, printer and bookseller;mw128023.jpg
Thomas Tesdale;1500;Founder of Pembroke College, Oxford;mw129077.jpg
John Caius;1500;Scholar and physician;mw126046.jpg
Andrea del Sarto;1500;Painter;mw119777.jpg
Sir Henry Bellasis, Lord Newburgh;1500;Politician, High Sheriff of Yorkshire;mw130911.jpg
Margaret, Duchess of Parma;1500;Governor of the Netherlands and illegitimate daughter of Charles V;mw125486.jpg
François Ravaillac;1500;Assassin of Henry IV, King of France;mw127891.jpg
Sir Thomas Gargrave;1500;Speaker of the House of Commons;mw02417.jpg
Juan Lewis Vives;1500;Theologian and teacher;mw125221.jpg
