Miklos Zrinyi (Count Nicholas Serini);1600;Hungarian statesman, military leader and poet;['mw121895.jpg']
Thomas Wadsworth;1600;Nonconformist minister and religious writer;['mw137508.jpg']
Cornelius de Wael;1600;Engraver;['mw43058.jpg']
Lucas de Wael;1600;History and landscape painter;['mw43058.jpg']
Baron John Wainwright;1600;Baron of the exchequer in Ireland;['mw197226.jpg']
Francis Quarles;1600;Poet;['mw132933.jpg']
William Wake;1600;Archbishop of Canterbury;['mw06538.jpg']
William Talbot;1600;Bishop of Durham;['mw204550.jpg']
Sébastien Vaillant;1600;French botanist;['mw149706.jpg']
William Douglas, 1st Duke of Queensberry;1600;Politician, Lord High Commissioner of Scotland;['mw136688.jpg']
James Douglas, 2nd Duke of Queensberry;1600;Lord Privy Seal;['mw35378.jpg']
Robert Paston, 1st Earl of Yarmouth;1600;Politician and scientist;['mw114351.jpg']
Charles Beauclerk, 1st Duke of St Albans;1600;Soldier;['mw136968.jpg']
Sir George Wakeman, Bt;1600;Royal physician;['mw123415.jpg']
William Talman;1600;Architect;['mw08478.jpg']
Pieter (or Peeter) van Avont;1600;Painter, draughtsman and printmaker;['mw43121.jpg']
Pope Urban VIII (Maffeo Barbarini);1600;Pope 1623-1644;['mw129446.jpg']
Sir Thomas Urquhart (Urchard);1600;Author and translator;['mw133238.jpg']
John Urry;1600;Literary editor;['mw143339.jpg']
Forde Grey, Earl of Tankerville;1600;Lord Grey of Warke, Whig politician, First Lord of Treasury;['mw77548.jpg']
Jan van Belcamp;1600;Painter;['mw134197.jpg']
Sir John Vanbrugh;1600;Architect and dramatist;['mw06470.jpg']
Titus Oates;1600;Informer;['mw04723.jpg']
James Ussher;1600;Archbishop of Armagh;['mw06458.jpg']
Frans van den Wyngaerde (Wijngaerde);1600;Draughtsman and publisher;['mw43543.jpg']
Peter Vanderbank (Vandrebanc);1600;Engraver;['mw41483.jpg']
Hendrick van der Borcht the Elder;1600;Painter, engraver, dealer and collector;['mw66258.jpg']
Hendrick van der Borcht the Younger;1600;Artist;['mw134151.jpg']
John Yonge;1600;Irish Jesuit;['mw137649.jpg']
Sir Edward Walker;1600;Secretary to Charles I;['mw01226.jpg']
Adriaen van der Venne;1600;Painter, draughtsman (designer for prints) and writer;['mw43513.jpg']
William van de Velde the Elder;1600;Marine painter;['mw139234.jpg']
William van de Velde the Younger;1600;Marine painter;['mw38857.jpg']
Sir Anthony van Dyck;1600;Painter;['mw245199.jpg']
Sir Henry Vane the Elder;1600;Secretary of State;['mw06477.jpg']
Sir Henry Vane the Younger;1600;Revolutionary;['mw06478.jpg']
Thomas van Erpe (known as Thomas Erpenius);1600;Dutch Orientalist;['mw129533.jpg']
John Radcliffe;1600;Physician;['mw05190.jpg']
Antonie van Leeuwenhoek;1600;Dutch tradesman and scientist, known as 'the Father of Microbiology';['mw140569.jpg']
Robert Walker;1600;Painter;['mw06550.jpg']
Thomas Walker;1600;Headmaster of Charterhouse School;['mw197433.jpg']
John Robartes, 1st Earl of Radnor;1600;Politician and army officer;['mw132224.jpg']
Rembrandt Harmensz van Rijn;1600;Artist;['mw139189.jpg']
Anna Maria van Schurman;1600;Poet and scholar;['mw134535.jpg']
Adriaen van Stalbemt;1600;Painter;['mw134174.jpg']
Cornelis van Tromp;1600;Lieutenant-Admiral;['mw140556.jpg']
William Cecil, 2nd Earl of Salisbury;1600;Politician and Lord Lieutenant of Hertfordshire and Dorset;['mw133975.jpg']
Frances Cecil (née Bennett), Countess of Salisbury;1600;Wife of 4th Earl of Salisbury;['mw142423.jpg']
William Walker;1600;Schoolmaster and author;['mw128887.jpg']
Jan van Wyck;1600;Painter;['mw139255.jpg']
William Salmon;1600;Empiric and writer;['mw138381.jpg']
Jeremy Taylor;1600;Bishop of Down and Connor;['mw135502.jpg']
